Transaction_x0020_ID,Event_x0020_name,Number_x0020_of_x0020_purchased_x0020_tickets,Total_x0020_amount,Sales_x0020_channel,Customer_x0020_first_x0020_name,Customer_x0020_last_x0020_name,Office_x0020_location,Created_Date
28319819,CHRISTELLE CHOLLET - CHRISTELLE CHOLLET dans N°5 de CHOLLET,3,66,web,Diodoro,Induzi,Paris,2021-03-02T00:00:00
21231842,Dr. Leon Windscheid,1,21,mobile app,Giampiero,Induzi,Osnabrück,2021-03-10T00:00:00
2291447,L'EMBARRAS DU CHOIX,3,138,web,Pat,Tikekar,Paris,2021-04-06T00:00:00
23994233,Daniel Sloss - Socially Distanced,8,206.8,web,Elian,Tikekar,Leeds,2021-03-02T00:00:00
24924162,CROISIERE DINER 18H - BATEAUX MOUCHES,8,296,web,Reynaldo,Tikekar,Paris,2021-03-02T00:00:00
38754603,A Night of Contemporary Blues with Kyla Brox & Giles Robson,7,42,mobile app,Metodio,Tikekar,Portsmouth,2021-02-27T00:00:00
54026760,Steps - What the Future Holds Tour,8,400,mobile app,Hodeia,Tikekar,Cardiff,2021-03-22T00:00:00
21076607,Drive-In Theater Tour featuring Zach Williams,4,698,web,Lamine,Tikekar,Bossier City,2021-03-12T00:00:00
10973887,Isaac Dunbar,7,77,mobile app,Emery,Tikekar,London,2021-02-22T00:00:00
5070809,LA COURSE DES GEANTS,7,275.8,web,Cataldo,Tikekar,Paris,2021-04-10T00:00:00
36128731,Amos Lee W. The Atlanta Symphony Orchestra,3,208.5,mobile app,Khalil,Tikekar,Atlanta,2021-02-02T00:00:00
33686241,Banda MS de Sergio Lizarraga,3,273,mobile app,Delcie,Tikekar,Stockton,2021-02-26T00:00:00
22720429,Del Amitri,8,500.8,mobile app,Mathieu,Tikekar,Birmingham,2021-03-22T00:00:00
37122225,Albuquerque Isotopes vs. Sugar Land Skeeters,3,52.5,mobile app,Anjana,Tikekar,Albuquerque,2021-02-27T00:00:00
42340101,Washington Capitals vs. Boston Bruins,8,2272,web,Videlina,Tikekar,Washington,2021-02-14T00:00:00
64122757,PASS JARDIN ILLIMITE - DATE,8,256,web,Abdeloihid,Tikekar,Paris,2021-03-06T00:00:00
34473138,Atlanta United FC vs. Toronto FC,8,3288,mobile app,Abdelhabib,Weisshun,Atlanta,2021-02-16T00:00:00
41505257,What's Love Got To Do With It?,1,33,mobile app,Myrna,Weisshun,Wolverhampton,2021-02-16T00:00:00
25338767,CORTEO,6,308.4,web,Metodio,Weisshun,Aix En Provence,2021-03-03T00:00:00
38226,LUC ARBOGAST,5,146,web,Yanet,Weisshun,Lichtenberg,2021-03-13T00:00:00
16813506,Franco Escamilla,8,1032,web,Jezabel,Weisshun,Laredo,2021-04-02T00:00:00
32089348,Black Stone Cherry,4,71.5,mobile app,Esosa,Weisshun,Exeter,2021-02-25T00:00:00
22412891,Detroit Pistons vs. Denver Nuggets,2,4170,web,Aitzpea,Weisshun,Detroit,2021-03-10T00:00:00
20333922,Eddi Reader - 40th Anniversary Tour,7,182,web,Kirstie,Weisshun,Dunfermline,2021-03-28T00:00:00
15370250,Gemma Collins,4,270,mobile app,Francesc,Weisshun,Birmingham,2021-04-17T00:00:00
43414011,VISITE GROUPE AVEC VOTRE CONFERENCIER - VOTRE GUIDE CONFERENCIER,1,60,web,Yamil,Weisshun,Paris,2021-02-20T00:00:00
9832510,Jason Manford - Like Me,5,168,web,Xingyu,Weisshun,Dorking,2021-03-24T00:00:00
19048663,Erasure,8,594.4,web,Cesc,Weisshun,Cardiff,2021-03-26T00:00:00
36281950,AMAURY VASSILI,1,24,mobile app,Floreal,Weisshun,Carmaux,2021-02-27T00:00:00
21024086,Drury Lane Presents: Forever Plaid,3,201,web,Richie,Weisshun,Oakbrook Terrace,2021-03-15T00:00:00
7717926,Jon Richardson: The Knitwit,8,231.2,mobile app,Yasmine,Weisshun,Birmingham,2021-04-08T00:00:00
5264868,Kosair Shrine Circus,4,65,mobile app,Doroteo,Weisshun,Louisville,2021-04-10T00:00:00
50603563,The Human League - Dare 40,6,240,web,Tsvetan,Weisshun,Manchester,2021-03-08T00:00:00
1716391,LES MAUX BLEUS,7,145.25,mobile app,Gaudencia,Weisshun,Paris,2021-04-25T00:00:00
55867140,Simply Red | Platinum Tickets,3,444.15,web,Sharie,Weisshun,Mannheim,2021-03-26T00:00:00
29512488,CATHERINE RINGER,4,128,web,Clyde,Weisshun,Bayonne,2021-03-06T00:00:00
11845791,I Prevail,1,30,web,Marylin,Venturini,Oberhausen,2021-04-22T00:00:00
14876691,Girls Gotta Eat,1,37.5,mobile app,Rolando,Venturini,Houston,2021-04-08T00:00:00
13879618,Hadestown (NY),7,1148,web,Oumy,Venturini,New York,2021-04-03T00:00:00
20767923,Dua Lipa: Future Nostalgia Tour,1,75.5,mobile app,Ruyman,Venturini,Leeds,2021-03-19T00:00:00
6630704,Kansas City Mavericks vs. Allen Americans,4,136,mobile app,Jennie,Venturini,Independence,2021-04-16T00:00:00
21679559,Disney’s Frozen (Chicago),8,808,web,Chrif,Venturini,Chicago,2021-03-13T00:00:00
20939510,Dua Lipa |  Dua´s House Party Package,2,120,web,Tsvetana,Venturini,Hamburg,2021-02-01T00:00:00
18660330,EVA,3,156,mobile app,Nacira,Venturini,Floirac,2021-03-18T00:00:00
22982339,Deep Purple,4,254.2,mobile app,Feng,Venturini,Birmingham,2021-02-05T00:00:00
35989649,An Evening with Damien Escobar,1,40,web,Francesc,Venturini,Ft Lauderdale,2021-02-01T00:00:00
17252402,for KING & COUNTRY With Company | A Summer Tour,2,100,web,Xingyu,Venturini,Corbin,2021-03-04T00:00:00
17513691,FLORENT PAGNY,8,440,web,Illart,Venturini,Floirac,2021-03-01T00:00:00
37545136,ALAIN SOUCHON,4,218,web,Suzanna,Venturini,Niort,2021-02-06T00:00:00
27760211,CINQ DE COEUR,1,38,web,Lindaura,Venturini,Paris,2021-03-25T00:00:00
22664273,DEMASQUEES,1,16.5,web,Trinity,Venturini,Ares,2021-03-22T00:00:00
57562497,Sawyer Brown,3,60,web,Royce,Venturini,Corinth,2021-02-03T00:00:00
54904301,Soccer Mommy,8,144,web,Kesia,Venturini,Saint Louis,2021-02-21T00:00:00
73155637,Michael Ball & Alfie Boe - Together At Christmas,8,326.8,web,Julito,Venturini,Manchester,2021-02-14T00:00:00
38696338,A Question of Sport Live,4,340.5,web,Alioune,Venturini,Glasgow,2021-02-04T00:00:00
33399385,Becky Hill,6,111,mobile app,Alioune,Venturini,Bournemouth,2021-02-09T00:00:00
33962476,Back In Black,3,60,web,Sharmila,Venturini,Houston,2021-02-25T00:00:00
20648577,Dulce Pontes - Fascinação Tour,7,192.5,web,Gwenaelle,Venturini,London,2021-03-21T00:00:00
37882638,Alabama,1,126.5,mobile app,Anjela,Venturini,Estero,2021-02-15T00:00:00
41180379,WICKED (NY),3,435,mobile app,Venanci,Venturini,New York,2021-02-07T00:00:00
34064503,Baby Shark Live!,1,47,web,Adelmo,Venturini,Fargo,2021-02-16T00:00:00
27520358,CIRQUE BORMANN MORENO,1,24.575,web,Benyamin,Liberado,Paris,2021-03-01T00:00:00
20099659,Ehrlich Brothers – Dream & Fly – Die neue Magie Show,6,520.95,mobile app,Bernabela,Liberado,Oberhausen,2021-03-12T00:00:00
38791264,A Bowie Celebration: Bowie Alumni Play Diamond Dogs & Ziggy Stardust,8,232,mobile app,Yisel,Liberado,Red Bank,2021-02-01T00:00:00
38598020,Aaron Lewis,7,175,mobile app,Ivonne,Liberado,Charleston,2021-02-03T00:00:00
22375617,Detroit Pistons vs. Minnesota Timberwolves,2,50,web,Xuezhen,Liberado,Detroit,2021-03-11T00:00:00
27694987,Circo Hermanos Vazquez,3,75,web,Miron,Liberado,Gurnee,2021-03-12T00:00:00
30105463,CAR / MEN,4,218,mobile app,Yissel,Liberado,Paris,2021-03-22T00:00:00
35542650,ANGE,8,280,mobile app,Artus,Liberado,Chenove,2021-02-23T00:00:00
2033107,LES ANNEES 80 LA TOURNEE,3,129,web,Josefina,Liberado,Mont De Marsan,2021-04-23T00:00:00
40813661,World's Toughest Rodeo,7,110.25,web,Raidel,Liberado,Nashville,2021-02-11T00:00:00
41498167,What's Love Got To Do With It?,5,0,web,Izamar,Liberado,Portsmouth,2021-02-18T00:00:00
12035797,Hot Wheels Monster Trucks Live,4,92,web,Shuling,Liberado,Charlottesville,2021-04-20T00:00:00
39331067,2021 Rome Braves Regular Season,7,73.5,mobile app,Alioune,Liberado,Rome,2021-02-20T00:00:00
18962759,Eric Church: The Gather Again Tour,5,495.625,web,Asiel,Liberado,Pittsburgh,2021-03-07T00:00:00
64760091,Pagliaro,1,35,mobile app,Lauralee,Liberado,Brossard,2021-03-05T00:00:00
8670050,JINJER with special guests SUICIDE SILENCE and ALL HAIL THE YETI,7,192.5,web,Glenna,Adelina,Charlotte,2021-02-11T00:00:00
12929825,HELENE SEGARA,2,104,mobile app,Shamas,Adelina,Toul,2021-02-11T00:00:00
42301913,Washington Capitals vs. Pittsburgh Penguins,8,2468,web,Reynaldo,Adelina,Washington,2021-02-06T00:00:00
3067607,LE ROI LION,5,210,web,Camelia,Adelina,Paris,2021-04-08T00:00:00
59957524,REVUE SEULE - L'OISEAU PARADIS,8,560,mobile app,Yuhui,Adelina,Paris,2021-03-07T00:00:00
32038471,"Blackberry Smoke And Special Guests, Spirit Of The South Tour",6,446.25,web,Bassma,Adelina,Reading,2021-02-23T00:00:00
17995739,FELIX RADU,6,169.2,web,Besay,Adelina,Paris,2021-03-11T00:00:00
28519252,Chris Ramsey - 20/20,2,0,web,Abian,Adelina,Newcastle Upon Tyne,2021-03-15T00:00:00
35490054,Anne Haigis feat. Niklas Hauke,6,92.1,web,Damary,Adelina,Worpswede,2021-02-06T00:00:00
5075302,LA COURSE DES GEANTS,3,118.2,web,Pulaja,Adelina,Paris,2021-04-18T00:00:00
22124097,Dierks Bentley,8,756,web,Hamid,Adelina,Stateline,2021-03-25T00:00:00
57567436,Sawyer Brown,7,343,web,Bosco,Adelina,Corinth,2021-02-03T00:00:00
1493456,LES TONTONS FARCEURS,8,340,mobile app,Adelmo,Adelina,Orchies,2021-02-05T00:00:00
53965622,Steve Hackett Genesis Revisited - Seconds Out & More,8,340,web,Charly,Adelina,Southampton,2021-02-06T00:00:00
17172460,Forever Young a Tribute To Neil Young,8,188,web,Merly,Adelina,Salisbury,2021-03-28T00:00:00
6939280,Justin Bieber,6,357,web,Sharie,Adelina,St Louis,2021-04-03T00:00:00
19119373,EOB,8,296,mobile app,Darien,Surujnarine,New York,2021-03-15T00:00:00
18961759,Eric Church: The Gather Again Tour,7,260.75,mobile app,Valentino,Surujnarine,Pittsburgh,2021-03-07T00:00:00
25936356,Colorado Avalanche vs. Los Angeles Kings,3,147,mobile app,Cherryl,Surujnarine,Denver,2021-03-04T00:00:00
38600236,Aaron Lewis,6,210,web,Myrna,Surujnarine,Camdenton,2021-02-14T00:00:00
43139062,VISITE MAISON & JARDINS DE CLAUDE MONET,5,51.25,web,Camelia,Surujnarine,Giverny,2021-02-05T00:00:00
7536513,Jools Holland and His Rhythm & Blues Orchestra,5,240.625,mobile app,Alejandro,Surujnarine,London,2021-04-25T00:00:00
19702260,Ellen Andrea Wang Trio,6,123,web,Ignasia,Surujnarine,Cloppenburg,2021-03-07T00:00:00
28468,Lucero - When You Found Me Fall Tour 2021,7,199.5,web,Vera,Surujnarine,New York,2021-04-06T00:00:00
26569396,Classic Albums Live: Dark Side Of The Moon,8,1040,web,Pergentina,Surujnarine,Toronto,2021-03-15T00:00:00
17109709,Four Tops and Temptations,3,75,mobile app,Maodo,Surujnarine,Leeds,2021-03-01T00:00:00
18954759,Eric Church: The Gather Again Tour,8,298,web,Zhongwei,Surujnarine,Pittsburgh,2021-03-07T00:00:00
30568173,Buckcherry,6,157.5,mobile app,Izamar,Surujnarine,Kansas City,2021-03-02T00:00:00
28611991,Chris de Burgh,7,311.5,mobile app,Gudrun,Faner,Birmingham,2021-03-08T00:00:00
17313056,Flyover 2021,5,623.75,mobile app,Skye,Faner,Bonner Springs,2021-03-20T00:00:00
12298394,Holiday Inn,3,231,mobile app,Viorel,Faner,Oakbrook Terrace,2021-03-05T00:00:00
19054128,Erasure,8,297.2,web,Jurate,Faner,Cardiff,2021-03-26T00:00:00
39919164,1Live Köln Comedy-Nacht XXL 2020 | Premium-Package,7,567,web,Del,Faner,Cologne,2021-02-14T00:00:00
37531282,ALAIN SOUCHON,6,414,web,Khalil,Faner,Floirac,2021-02-09T00:00:00
32968261,BERNADETTE DE LOURDES,2,50,web,Antonia,Faner,Lourdes,2021-02-16T00:00:00
39971679,11th Annual Buffett Beach Blast   Ft. Changes In Latitudes,7,175,mobile app,Edin,Faner,Salisbury,2021-02-19T00:00:00
20524612,Eagles,5,645,mobile app,Shaina,Faner,Denver,2021-03-29T00:00:00
19045301,Erasure,4,185.4,mobile app,Diamela,Faner,Bournemouth,2021-03-13T00:00:00
30973331,Brian Culbertson,5,222.5,mobile app,Abdeloihid,Faner,St Louis,2021-03-09T00:00:00
41497312,What's Love Got To Do With It?,8,0,web,Benardino,Faner,Portsmouth,2021-02-18T00:00:00
57566472,Sawyer Brown,7,241.5,mobile app,Maikol,Faner,Corinth,2021-02-03T00:00:00
42197209,WE LOVE GREEN FESTIVAL-PASS 2 JOURS - WE LOVE GREEN FESTIVAL-PASS 2J.,5,495,mobile app,Mechelle,Bruene,Paris,2021-02-27T00:00:00
4751691,LA PIZZICATA,8,241.6,mobile app,Carmo,Bruene,Sanary Sur Mer,2021-04-16T00:00:00
33816954,Bad Sounds,2,27.5,mobile app,Juanito,Bruene,London,2021-02-13T00:00:00
39074043,30 für Trier,2,70,web,Yurik,Bruene,Trier,2021-03-05T00:00:00
32169326,Black Hat Shows Presents Remy's Playhouse In Stir Krazy!!,8,320,web,Pamula,Bruene,Jackson,2021-02-13T00:00:00
8270137,Joe Hisaishi Symphonic Concert: The Music of Studio Ghibli,3,120,mobile app,Reynaldo,Bruene,London,2021-04-09T00:00:00
17115442,Four Tops and Temptations,2,50,web,Aloha,Bruene,Leeds,2021-03-01T00:00:00
33014430,BERNADETTE DE LOURDES,4,236,mobile app,Kirstie,Bruene,Lourdes,2021-02-16T00:00:00
42928134,VISITE MAISON & JARDINS DE CLAUDE MONET,2,20.5,web,Abian,Bruene,Giverny,2021-02-22T00:00:00
10661802,Jackson State University Baseball v Univ. of Louisiana Monroe,5,25,web,Abian,Bruene,Jackson,2021-04-03T00:00:00
34169259,Austin Sound v Denver Rush,2,132,web,Delcie,Bruene,Cedar Park,2021-02-20T00:00:00
10416289,James & Happy Mondays,7,285.95,mobile app,Ferney,Bruene,Birmingham,2021-03-24T00:00:00
70571992,Musical Dinner Show,8,720.8,mobile app,Phylicia,Bruene,Karlsruhe,2021-03-12T00:00:00
23748496,Dave Matthews Band,4,456,mobile app,Kristof,Bruene,Noblesville,2021-03-28T00:00:00
28711835,Chip,2,33,web,Sarabi,Bruene,Manchester,2021-03-07T00:00:00
14193861,Grupo Firme,6,294,mobile app,Kathyrn,Bruene,Ontario,2021-04-21T00:00:00
40987191,Windsbacher Knabenchor & Ursula Jasiecka-Bury,2,82.5,web,Shuling,Bruene,Straupitz,2021-02-21T00:00:00
24061034,Daniel Habif Inquebrantables World Tour 2021,4,376,mobile app,Rafaella,Bruene,Raleigh,2021-03-29T00:00:00
27616625,Circus Extreme,6,42,web,Clodoaldo,Bruene,Liverpool,2021-03-07T00:00:00
1689524,Les Miserables (Touring),1,103,mobile app,Willians,Bruene,San Jose,2021-04-25T00:00:00
39291264,2021 Rome Braves Regular Season,8,84,mobile app,Ersin,Eceiza,Rome,2021-02-25T00:00:00
10916926,Jabbawockeez,1,50.04,mobile app,Jennie,Eceiza,Las Vegas,2021-04-25T00:00:00
55874941,Simply Red | Platinum Tickets,6,993.3,web,Zaila,Eceiza,Mannheim,2021-03-26T00:00:00
17677860,Fire & Rain & American Pie,7,165.2,mobile app,Cherryl,Eceiza,Scunthorpe,2021-02-21T00:00:00
11622809,Il Divo,2,102.9,web,Camelia,Eceiza,London,2021-04-03T00:00:00
30644051,Bruce Hornsby & the Noisemakers,1,1,mobile app,Najlae,Eceiza,Eatontown,2021-03-08T00:00:00
19673421,ELODIE FREGE - ANDRE MANOUKIAN,7,406,mobile app,Erzsebet,Eceiza,Boulogne Billancourt,2021-02-17T00:00:00
20305704,EDDY DE PRETTO,3,180,mobile app,Cesarina,Eceiza,Lille,2021-03-11T00:00:00
19382151,EMBAUCHE-MOI SI TU PEUX,8,180.8,web,Sharmin,Eceiza,Merignac,2021-03-24T00:00:00
25328107,CORTEO,5,257,web,Uranius,Eceiza,Aix En Provence,2021-03-03T00:00:00
40524140,YSEULT,6,165,mobile app,Reatha,Eceiza,Lyon,2021-02-07T00:00:00
66516568,NIGHTWISH,4,259,mobile app,Haijun,Eceiza,Paris,2021-03-23T00:00:00
12749389,High Roller Wheel at The LINQ,7,420,web,Luann,Eceiza,Las Vegas,2021-04-11T00:00:00
239128,Louis-Jose Houde,3,152.85,web,Luann,Eceiza,Brossard,2021-04-17T00:00:00
31637867,BODYGUARD - Das Musical,6,91.2,mobile app,Pulaja,Eceiza,Berlin,2021-02-25T00:00:00
40650810,X-League: Kansas City Force Vs. Denver Rush,8,332,web,Jarmila,Eceiza,Independence,2021-02-20T00:00:00
40020256,1 JOUR - FESTIVAL CHORUS 2021 - FESTIVAL CHORUS 2021,3,98.4,web,Nerea,Eceiza,Boulogne Billancourt,2021-02-23T00:00:00
54022121,Steps - What the Future Holds Tour,7,700,web,Arale,Eceiza,Cardiff,2021-03-22T00:00:00
37834845,Alabama's 50th Anniversary Tour,2,70.7,web,Peli,Tico,Nashville,2021-02-27T00:00:00
36576891,Alicia Keys: ALICIA The World Tour -  VIP Packages,5,2022.5,mobile app,Maribeth,Tico,Manchester,2021-02-24T00:00:00
11830259,Iain Stirling - Failing Upwards,8,175.6,mobile app,Yvelisse,Tico,Camberley,2021-02-09T00:00:00
18953244,Eric Church: The Gather Again Tour,5,805,mobile app,Oumy,Tico,Pittsburgh,2021-03-07T00:00:00
14727548,Goldilocks and the Three Bears,7,378,web,Yonathan,Tico,Birmingham,2021-03-08T00:00:00
10587772,Jacksonville Icemen vs. South Carolina Stingrays,1,41,web,Mustansar,Tico,Jacksonville,2021-04-09T00:00:00
13986191,Gwinnett Stripers vs. Nashville Sounds,1,8,mobile app,Honesta,Tico,Lawrenceville,2021-04-08T00:00:00
23540538,David Copperfield,7,571.83,web,Latifa,Tico,Las Vegas,2021-03-12T00:00:00
37545012,ALAIN SOUCHON,7,381.5,web,Jinan,Tico,Niort,2021-02-06T00:00:00
8267293,Joe Hisaishi Symphonic Concert: The Music of Studio Ghibli,4,160,mobile app,Alejandro,Tico,London,2021-04-09T00:00:00
41515993,What the Hell?!,2,162,mobile app,Senaida,Tico,Bremen,2021-02-24T00:00:00
18021471,Faye Webster,8,112,mobile app,Raimundas,Tico,Charlottesville,2021-03-29T00:00:00
26232751,Club Level Seating - Tame Impala,8,520,web,Nourdin,Tico,Denver,2021-03-09T00:00:00
9377738,Jeff Hardy Meet & Greet Tour,8,200,mobile app,Stefan,Tico,Gainesville,2021-04-07T00:00:00
32381699,Bill Burr,4,198,web,Kesia,Tico,Indianapolis,2021-02-28T00:00:00
21172489,Drag Diva Disco Brunch,8,500,mobile app,Arale,Tico,Boston,2021-03-16T00:00:00
34087069,AZ,4,86,mobile app,Clodoaldo,Tico,Nantes,2021-02-15T00:00:00
12168570,HOMMAGE A MICHEL PETRUCCIANI,4,128.8,web,Peli,Caudet,Vienne,2021-04-18T00:00:00
32390445,Bill Burr,2,130,web,Chaka,Caudet,San Jose,2021-02-02T00:00:00
27903857,CHRISTOPHE MAE,3,120,mobile app,Cordell,Caudet,Orleans,2021-03-01T00:00:00
8265883,Joe Longthorne Songbook,8,106.2,mobile app,Khouloud,Caudet,Whitley Bay,2021-04-27T00:00:00
2733895,LE TOIT DE LA GRANDE ARCHE,5,44,mobile app,Aingeru,Caudet,LA DEFENSE,2021-04-01T00:00:00
34858982,Arrival - the Hits of Abba,8,90,mobile app,Camelia,Caudet,Scunthorpe,2021-02-19T00:00:00
39964271,147th Kentucky Derby - All-Inclusive Reserved And Box Seating,8,6472,web,Seila,Caudet,Louisville,2021-02-25T00:00:00
35996081,An Evening with Chicago and Their Greatest Hits ,6,783,web,Lamine,Caudet,Clarkston,2021-02-12T00:00:00
51789952,The Big Apple Coaster at NYNY,3,57,mobile app,Dei,Caudet,Las Vegas,2021-02-04T00:00:00
21074769,Drive-In Theater Tour featuring Zach Williams,2,349,web,Ji,Caudet,Bossier City,2021-03-12T00:00:00
26399949,Clinton Baptiste Goes Stratospheric,3,64.5,mobile app,Bassma,Caudet,Bolton,2021-02-11T00:00:00
41494835,What's Love Got To Do With It?,7,215.25,mobile app,Pacifico,Caudet,Manchester,2021-02-23T00:00:00
40011278,10 MINUTES POUR CONVAINCRE !,6,72,mobile app,Adelo,Caudet,Nantes,2021-02-27T00:00:00
23101503,Dean Z - The Ultimate Elvis,1,45.5,mobile app,Yackeline,Caudet,San Antonio,2021-03-30T00:00:00
12832653,Here Come The Boys,1,37.5,mobile app,Julito,Caudet,Liverpool,2021-04-24T00:00:00
10374103,James Blunt,3,198,web,Zhongwei,Caudet,Liverpool,2021-04-28T00:00:00
73153815,Michael Ball & Alfie Boe - Together At Christmas,4,163.4,web,Sidaty,Caudet,Manchester,2021-02-14T00:00:00
20382431,Ed Byrne - If I'm Honest,5,145.75,web,Levente,Caudet,Lytham St Annes,2021-03-28T00:00:00
32042305,"Blackberry Smoke And Special Guests, Spirit Of The South Tour",2,148.75,web,Shuling,Caudet,Reading,2021-02-23T00:00:00
9516196,Jeanne Robertson,7,560,web,Crisanto,Caudet,Kalamazoo,2021-04-29T00:00:00
31643265,BODYGUARD - Das Musical,4,234.8,web,Nerea,Caudet,Berlin,2021-02-23T00:00:00
25330228,CORTEO,7,570.15,mobile app,Lauralee,Caudet,Aix En Provence,2021-03-03T00:00:00
71822745,Mondwind - Der Zaubermantel,1,40.635,mobile app,Ike,Siefarth,Trier,2021-02-17T00:00:00
11721201,Ich lebe im Vielleicht - Emmy Hennings,1,16,mobile app,Abir,Siefarth,Neuhardenberg,2021-04-08T00:00:00
22016688,Dirty Dancing,2,70,web,Rayane,Siefarth,Hull,2021-03-13T00:00:00
32446440,Bill Bellamy,4,480,web,Vitalija,Siefarth,Schaumburg,2021-02-24T00:00:00
34369277,Austin Bold FC vs. Colorado Springs Switchbacks,4,60,web,Ruyman,Siefarth,Austin,2021-02-10T00:00:00
10585385,Jacksonville Icemen vs. South Carolina Stingrays,5,205,web,Bernabela,Siefarth,Jacksonville,2021-04-09T00:00:00
37874964,Alabama,5,632.5,web,Nosakhare,Siefarth,Estero,2021-02-15T00:00:00
3470063,LE MARIAGE DE FIGARO,1,22,mobile app,Creu,Siefarth,Paris,2021-02-02T00:00:00
25915298,Colorado Avalanche vs. San Jose Sharks,8,360,mobile app,Del,Siefarth,Denver,2021-03-23T00:00:00
29026911,CHARLIE ET LA CHOCOLATERIE - CHARLIE ET LA CHOCOLATERIE LE MUSICAL,6,270,web,Ferney,Siefarth,Paris,2021-03-01T00:00:00
25740741,Come From Away (Touring),3,75,web,Gurmeet,Siefarth,Memphis,2021-03-28T00:00:00
39846477,2020 RIVERFRONT JAZZ FESTIVAL - Friday Admission,7,343,mobile app,Lander,De Gregorio,Dallas,2021-02-27T00:00:00
43138280,VISITE MAISON & JARDINS DE CLAUDE MONET,5,37.5,mobile app,Bucur,De Gregorio,Giverny,2021-02-05T00:00:00
